Number,Class,Title,Level,Points,URL
1211,ESTRUTURAS E BIBLIOTECAS,Lista Telefônica Econômica,5,5.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1211
1212,MATEMÁTICA,Aritmética Primária,8,8.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1212
1213,MATEMÁTICA,Ones,5,5.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1213
1214,MATEMÁTICA,Acima da Média,3,3.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1214
1215,ESTRUTURAS E BIBLIOTECAS,Primeiro Dicionário de Andy,6,6.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1215
1216,AD-HOC,Getline One,4,4.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1216
1217,AD-HOC,Getline Two - Frutas,4,4.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1217
1218,AD-HOC,Getline Three - Calçados,4,4.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1218
1219,MATEMÁTICA,Flores Coloridas,5,5.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1219
1220,MATEMÁTICA,A Viagem,7,7.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1220
1221,MATEMÁTICA,Primo Rápido,6,6.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1221
1222,STRINGS,Concurso de Contos,6,6.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1222
1223,GEOMETRIA COMPUTACIONAL,Tobogan de Bolinhas,8,8.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1223
1224,PARADIGMAS,Cartões,8,8.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1224
1225,AD-HOC,Coral Perfeito,3,3.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1225
1226,PARADIGMAS,Elevador Espacial,8,8.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1226
1227,GRAFOS,Perdido na Noite,7,7.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1227
1228,AD-HOC,Grid de Largada,3,3.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1228
1229,PARADIGMAS,Combate ao Câncer,7,7.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1229
1230,MATEMÁTICA,Integral,10,10.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1230
1231,PARADIGMAS,Palavras,7,7.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1231
1232,MATEMÁTICA,Ciclo de Rubik,7,7.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1232
1233,MATEMÁTICA,Estrela,6,6.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1233
1234,STRINGS,Sentença Dançante,3,3.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1234
1235,STRINGS,De Dentro para Fora,5,5.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1235
1236,ESTRUTURAS E BIBLIOTECAS,Compactação de Nulos e Brancos,8,8.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1236
1237,STRINGS,Comparação de Substring,6,6.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1237
